captely-crm-service  | 2025-06-08T13:48:15.742202375Z Postgres is up - executing command
captely-crm-service  | 2025-06-08T13:48:19.504204522Z INFO:     Started server process [1]
captely-crm-service  | 2025-06-08T13:48:19.504263512Z INFO:     Waiting for application startup.
captely-crm-service  | 2025-06-08T13:48:19.504267730Z INFO:     Application startup complete.
captely-crm-service  | 2025-06-08T13:48:19.507449464Z INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
captely-crm-service  | 2025-06-08T13:50:55.529444891Z ✅ CRM service started, using existing database schema
captely-crm-service  | 2025-06-08T13:50:55.529506476Z 🔧 CRM: Received Authorization header: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdW...
captely-crm-service  | 2025-06-08T13:50:55.529517066Z 🔧 CRM: Extracted token: eyJhbGciOiJIUzI1NiIs...KMShNp5Xko
captely-crm-service  | 2025-06-08T13:50:55.529526182Z 🔧 CRM: Sending request to auth service: {'token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxZmVlZWYzYi1mZWZlLTQwM2UtYWU5Ni03NDhiZmY2YzUzOTQiLCJleHAiOjE3NDkzOTIxNzl9.hM_bIBG9DFfvESjXoZg5-ydMIXkEd_MkXKMShNp5Xko'}
captely-crm-service  | 2025-06-08T13:50:55.529535259Z 🔧 CRM: Received Authorization header: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdW...
captely-crm-service  | 2025-06-08T13:50:55.529543094Z 🔧 CRM: Extracted token: eyJhbGciOiJIUzI1NiIs...KMShNp5Xko
captely-crm-service  | 2025-06-08T13:50:55.529551058Z 🔧 CRM: Sending request to auth service: {'token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxZmVlZWYzYi1mZWZlLTQwM2UtYWU5Ni03NDhiZmY2YzUzOTQiLCJleHAiOjE3NDkzOTIxNzl9.hM_bIBG9DFfvESjXoZg5-ydMIXkEd_MkXKMShNp5Xko'}
captely-crm-service  | 2025-06-08T13:50:55.529560215Z 🔧 CRM: Auth service response status: 200
captely-crm-service  | 2025-06-08T13:50:55.529567950Z 🔧 CRM: Auth service response text: {"user_id":"1feeef3b-fefe-403e-ae96-748bff6c5394","valid":true}
captely-crm-service  | 2025-06-08T13:50:55.529576516Z ✅ CRM: Token validation successful: {'user_id': '1feeef3b-fefe-403e-ae96-748bff6c5394', 'valid': True}
captely-crm-service  | 2025-06-08T13:50:55.529597855Z 🔧 CRM: Auth service response status: 200
captely-crm-service  | 2025-06-08T13:50:55.529607574Z 🔧 CRM: Auth service response text: {"user_id":"1feeef3b-fefe-403e-ae96-748bff6c5394","valid":true}
captely-crm-service  | 2025-06-08T13:50:55.529616119Z ✅ CRM: Token validation successful: {'user_id': '1feeef3b-fefe-403e-ae96-748bff6c5394', 'valid': True}
captely-crm-service  | 2025-06-08T13:50:55.529624686Z INFO:     172.18.0.15:34132 - "GET /api/contacts?page=1&limit=25&search=&batch_filter=all&status_filter=all&email_reliability=all&lead_score_min=0&lead_score_max=100 HTTP/1.0" 200 OK
captely-crm-service  | 2025-06-08T13:50:55.534049238Z INFO:     172.18.0.15:34142 - "GET /api/contacts/stats/enrichment HTTP/1.0" 200 OK
captely-crm-service  | 2025-06-08T13:53:20.136022465Z 🔧 CRM: Received Authorization header: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdW...
captely-crm-service  | 2025-06-08T13:53:20.136071366Z 🔧 CRM: Extracted token: eyJhbGciOiJIUzI1NiIs...KMShNp5Xko
captely-crm-service  | 2025-06-08T13:53:20.136082336Z 🔧 CRM: Sending request to auth service: {'token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxZmVlZWYzYi1mZWZlLTQwM2UtYWU5Ni03NDhiZmY2YzUzOTQiLCJleHAiOjE3NDkzOTIxNzl9.hM_bIBG9DFfvESjXoZg5-ydMIXkEd_MkXKMShNp5Xko'}
captely-crm-service  | 2025-06-08T13:53:20.136090972Z 🔧 CRM: Received Authorization header: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdW...
captely-crm-service  | 2025-06-08T13:53:20.136098817Z 🔧 CRM: Extracted token: eyJhbGciOiJIUzI1NiIs...KMShNp5Xko
captely-crm-service  | 2025-06-08T13:53:20.136126980Z 🔧 CRM: Sending request to auth service: {'token': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxZmVlZWYzYi1mZWZlLTQwM2UtYWU5Ni03NDhiZmY2YzUzOTQiLCJleHAiOjE3NDkzOTIxNzl9.hM_bIBG9DFfvESjXoZg5-ydMIXkEd_MkXKMShNp5Xko'}
captely-crm-service  | 2025-06-08T13:53:20.136130907Z 🔧 CRM: Auth service response status: 200
captely-crm-service  | 2025-06-08T13:53:20.136134083Z 🔧 CRM: Auth service response text: {"user_id":"1feeef3b-fefe-403e-ae96-748bff6c5394","valid":true}
captely-crm-service  | 2025-06-08T13:53:20.136137420Z ✅ CRM: Token validation successful: {'user_id': '1feeef3b-fefe-403e-ae96-748bff6c5394', 'valid': True}
captely-crm-service  | 2025-06-08T13:53:20.136140594Z 🔧 CRM: Auth service response status: 200
captely-crm-service  | 2025-06-08T13:53:20.136143490Z 🔧 CRM: Auth service response text: {"user_id":"1feeef3b-fefe-403e-ae96-748bff6c5394","valid":true}
captely-crm-service  | 2025-06-08T13:53:20.136151875Z ✅ CRM: Token validation successful: {'user_id': '1feeef3b-fefe-403e-ae96-748bff6c5394', 'valid': True}
captely-crm-service  | 2025-06-08T13:53:20.136155312Z INFO:     172.18.0.15:45674 - "GET /api/contacts?page=1&limit=25&search=&batch_filter=all&status_filter=all&email_reliability=all&lead_score_min=0&lead_score_max=100 HTTP/1.0" 200 OK
captely-crm-service  | 2025-06-08T13:53:20.138180686Z INFO:     172.18.0.15:45678 - "GET /api/contacts/stats/enrichment HTTP/1.0" 200 OK
captely-crm-service  | 2025-06-08T13:58:45.895225680Z INFO:     51.195.190.14:41990 - "GET / HTTP/1.0" 404 Not Found
captely-crm-service  | 2025-06-08T13:58:45.936136322Z INFO:     51.195.190.14:56164 - "GET /nice%20ports%2C/Trinity.txt.bak HTTP/1.0" 404 Not Found
captely-crm-service  | 2025-06-08T13:58:45.977634967Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:46.020210455Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:46.075334161Z WARNING:  Invalid HTTP request received.
captely-crm-service  | 2025-06-08T13:58:51.143400254Z INFO:     51.195.190.14:38756 - "OPTIONS / HTTP/1.0" 404 Not Found
captely-crm-service  | 2025-06-08T13:58:51.189037511Z INFO:     51.195.190.14:38896 - "OPTIONS / HTTP/1.0" 404 Not Found
captely-crm-service  | 2025-06-08T13:58:51.221414763Z WARNING:  Invalid HTTP request received.
