captely-frontend  | 2025-06-08T13:48:18.255744615Z /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
captely-frontend  | 2025-06-08T13:48:18.255786242Z /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
captely-frontend  | 2025-06-08T13:48:18.255790119Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
captely-frontend  | 2025-06-08T13:48:18.269803294Z 10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
captely-frontend  | 2025-06-08T13:48:18.399290970Z 10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
captely-frontend  | 2025-06-08T13:48:18.475752360Z /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
captely-frontend  | 2025-06-08T13:48:18.475782736Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
captely-frontend  | 2025-06-08T13:48:18.475786142Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
captely-frontend  | 2025-06-08T13:48:18.475788888Z /docker-entrypoint.sh: Configuration complete; ready for start up
captely-frontend  | 2025-06-08T13:48:18.475858858Z 2025/06/08 13:48:18 [notice] 1#1: using the "epoll" event method
captely-frontend  | 2025-06-08T13:48:18.475863507Z 2025/06/08 13:48:18 [notice] 1#1: nginx/1.27.5
captely-frontend  | 2025-06-08T13:48:18.475866321Z 2025/06/08 13:48:18 [notice] 1#1: built by gcc 14.2.0 (Alpine 14.2.0) 
captely-frontend  | 2025-06-08T13:48:18.475868686Z 2025/06/08 13:48:18 [notice] 1#1: OS: Linux 6.11.0-9-generic
captely-frontend  | 2025-06-08T13:48:18.475871221Z 2025/06/08 13:48:18 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1073741816:1073741816
captely-frontend  | 2025-06-08T13:48:18.475873606Z 2025/06/08 13:48:18 [notice] 1#1: start worker processes
captely-frontend  | 2025-06-08T13:48:18.476541416Z 2025/06/08 13:48:18 [notice] 1#1: start worker process 28
captely-frontend  | 2025-06-08T13:48:18.479204116Z 2025/06/08 13:48:18 [notice] 1#1: start worker process 29
captely-frontend  | 2025-06-08T13:48:18.480933819Z 2025/06/08 13:48:18 [notice] 1#1: start worker process 30
captely-frontend  | 2025-06-08T13:48:18.481979984Z 2025/06/08 13:48:18 [notice] 1#1: start worker process 31
captely-frontend  | 2025-06-08T13:48:44.365939445Z 172.18.0.15 - - [08/Jun/2025:13:48:44 +0000] "GET /api/jobs/c317e697-1acd-4141-ac57-09f63d3932bf HTTP/1.1" 200 2088 "https://captely.com/import" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "82.64.76.148"
captely-frontend  | 2025-06-08T13:48:49.660759887Z 172.18.0.15 - - [08/Jun/2025:13:48:49 +0000] "GET /api/verification/stats/c317e697-1acd-4141-ac57-09f63d3932bf HTTP/1.1" 200 2088 "https://captely.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "82.64.76.148"
captely-frontend  | 2025-06-08T13:49:00.633282512Z 172.18.0.15 - - [08/Jun/2025:13:49:00 +0000] "GET / HTTP/1.1" 200 2088 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3" "43.130.0.54"
captely-frontend  | 2025-06-08T13:50:06.506871221Z 172.18.0.15 - - [08/Jun/2025:13:50:06 +0000] "POST / HTTP/1.1" 405 157 "-" "Stripe/1.0 (+https://stripe.com/docs/webhooks)" "3.130.192.231"
captely-frontend  | 2025-06-08T13:50:21.444263900Z 172.18.0.15 - - [08/Jun/2025:13:50:21 +0000] "POST / HTTP/1.1" 405 157 "-" "Stripe/1.0 (+https://stripe.com/docs/webhooks)" "3.18.12.63"
captely-frontend  | 2025-06-08T13:50:48.184697754Z 172.18.0.15 - - [08/Jun/2025:13:50:48 +0000] "GET / HTTP/1.1" 200 2088 "-" "python-requests/2.32.3" "34.76.113.184"
captely-frontend  | 2025-06-08T13:54:00.740103447Z 172.18.0.15 - - [08/Jun/2025:13:54:00 +0000] "GET /logo-white.png HTTP/1.1" 200 17047 "https://captely.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "82.64.76.148"
captely-frontend  | 2025-06-08T13:55:26.442444304Z 172.18.0.15 - - [08/Jun/2025:13:55:26 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "82.64.76.148"
captely-frontend  | 2025-06-08T13:57:33.956457861Z 172.18.0.15 - - [08/Jun/2025:13:57:33 +0000] "GET /wp-admin/setup-config.php HTTP/1.1" 200 2088 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "2a06:98c0:3600::103, 104.23.221.117"
captely-frontend  | 2025-06-08T13:58:04.181720086Z 172.18.0.15 - - [08/Jun/2025:13:58:04 +0000] "GET /wp-admin/setup-config.php HTTP/1.1" 200 2088 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "2a06:98c0:3600::103, 172.69.224.61"
captely-frontend  | 2025-06-08T13:58:48.057717902Z 172.18.0.15 - - [08/Jun/2025:13:58:48 +0000] "GET /wordpress/wp-admin/setup-config.php HTTP/1.1" 200 2088 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "2a06:98c0:3600::103, 172.70.248.48"
captely-frontend  | 2025-06-08T13:58:50.892284534Z 51.195.190.14 - - [08/Jun/2025:13:58:50 +0000] "" 400 0 "-" "-" "-"
captely-frontend  | 2025-06-08T13:58:50.915865109Z 51.195.190.14 - - [08/Jun/2025:13:58:50 +0000] "GET / HTTP/1.0" 200 2088 "-" "-" "-"
captely-frontend  | 2025-06-08T13:58:51.961047652Z 172.18.0.15 - - [08/Jun/2025:13:58:51 +0000] "GET / HTTP/1.1" 200 2088 "-" "-" "51.195.190.14"
captely-frontend  | 2025-06-08T13:59:09.189509447Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET /Portal0000.htm HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
captely-frontend  | 2025-06-08T13:59:09.190390445Z 51.195.190.14 - - [08/Jun/2025:13:59:09 +0000] "GET / HTTP/1.1" 200 2088 "-" "curl/7.54.0" "-"
