captely-nginx  | 2025-06-08T13:48:19.150646502Z /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
captely-nginx  | 2025-06-08T13:48:19.150719518Z /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
captely-nginx  | 2025-06-08T13:48:19.161125138Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
captely-nginx  | 2025-06-08T13:48:19.192526400Z 10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
captely-nginx  | 2025-06-08T13:48:19.246626190Z 10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
captely-nginx  | 2025-06-08T13:48:19.250626525Z /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
captely-nginx  | 2025-06-08T13:48:19.257683331Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
captely-nginx  | 2025-06-08T13:48:19.284562979Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
captely-nginx  | 2025-06-08T13:48:19.307696574Z /docker-entrypoint.sh: Configuration complete; ready for start up
captely-nginx  | 2025-06-08T13:48:28.435590084Z 2025/06/08 13:48:28 [notice] 29#29: *1 "^/api/auth/(.*)$" matches "/api/auth/me", client: 82.64.76.148, server: captely.com, request: "GET /api/auth/me HTTP/1.1", host: "captely.com", referrer: "https://captely.com/"
captely-nginx  | 2025-06-08T13:48:28.435651148Z 2025/06/08 13:48:28 [notice] 29#29: *1 rewritten data: "/auth/me", args: "", client: 82.64.76.148, server: captely.com, request: "GET /api/auth/me HTTP/1.1", host: "captely.com", referrer: "https://captely.com/"
captely-nginx  | 2025-06-08T13:48:28.458832353Z 82.64.76.148 - - [08/Jun/2025:13:48:28 +0000] "GET /api/auth/me HTTP/1.1" 200 232 "https://captely.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "-" upstream_addr=172.18.0.4:8000 upstream_response_time=0.024 request_time=0.024
captely-nginx  | 2025-06-08T13:48:28.475478390Z 2025/06/08 13:48:28 [notice] 29#29: *1 "^/api/auth/(.*)$" matches "/api/auth/me", client: 82.64.76.148, server: captely.com, request: "GET /api/auth/me HTTP/1.1", host: "captely.com", referrer: "https://captely.com/"
captely-nginx  | 2025-06-08T13:48:28.475543601Z 2025/06/08 13:48:28 [notice] 29#29: *1 rewritten data: "/auth/me", args: "", client: 82.64.76.148, server: captely.com, request: "GET /api/auth/me HTTP/1.1", host: "captely.com", referrer: "https://captely.com/"
captely-nginx  | 2025-06-08T13:48:28.482710542Z 82.64.76.148 - - [08/Jun/2025:13:48:28 +0000] "GET /api/auth/me HTTP/1.1" 200 232 "https://captely.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36" "-" upstream_addr=172.18.0.4:8000 upstream_response_time=0.008 request_time=0.008
captely-nginx  | 2025-06-08T13:48:28.498098112Z 2025/06/08 13:48:28 [notice] 29#29: *1 "^/api/auth/(.*)$" matches "/api/auth/me", client: 82.64.76.148, server: captely.com, request: "GET /api/auth/me HTTP/1.1", host: "captely.com", referrer: "https://captely.com/"
